station_id,station_name,coord1_name,coord2_name,latitude_1,longitude_1,latitude_2,longitude_2,distance_meters,distance_km
C2N190,烏樹,,,23.32569,120.361793,23.32393,120.36989,849.6113353951099,0.8496113353951099
C2N180,鹿陶洋,,,23.145019,120.475434,23.14325,120.48352,849.8378570217815,0.8498378570217815
C2V920,匏子寮,,,23.050824,120.54511,23.04905,120.55319,849.9336240748967,0.8499336240748967
C2V580,瑞山,,,22.904811,120.42617,22.90304,120.43424,849.7293071239823,0.8497293071239823
C2R9A0,高士國小,,,22.127335,120.838508,22.12553,120.84653,850.3398839324353,0.8503398839324353
C2M530,奮起湖,,,23.495674,120.691142,23.493903,120.699253,850.2503980096324,0.8502503980096323
C2M810,里佳,,,23.390899,120.708543,23.389125,120.716647,850.271046792303,0.8502710467923029
C2C590,觀音,,,25.028835,121.145094,25.027072,121.153317,851.376145976197,0.851376145976197
C2E420,竹南,,,24.710737,120.880772,24.70898,120.88897,850.8426773507417,0.8508426773507417
C2E430,南庄,,,24.603539,120.992023,24.601775,121.000214,851.0254576037863,0.8510254576037863
C2W230,畜試所澎湖,,,23.630055,119.505094,23.628342,119.513206,848.054966655277,0.848054966655277
C2E880,三義,,,24.407236,120.741644,24.405478,120.749819,850.5547794896773,0.8505547794896774
C2FA00,烏石坑,,,24.275269,120.939447,24.273503,120.947617,851.106192680714,0.851106192680714
C2F9A0,中竹林,,,24.105556,120.743333,24.103556,120.751061,815.3005251553819,0.815300525155382
C2G840,北斗,,,23.879222,120.506528,23.877586,120.514222,803.1782296996869,0.8031782296996869
C2H950,中寮,,,23.886278,120.758528,23.884447,120.766406,826.4424404376896,0.8264424404376896
C2I090,鳳凰,,,23.729722,120.779167,23.728081,120.787347,852.4374686456403,0.8524374686456403
C2F860,梨山,,,24.245,121.237667,24.247522,121.243669,670.0300348331018,0.6700300348331019
C2K240,草嶺,,,23.597319,120.685342,23.59555,120.693461,850.3701480383191,0.8503701480383191
C2E520,大湖,,,24.4167,120.862694,24.414939,120.870872,850.8667267127438,0.8508667267127438
C2F000,大肚,,,24.154667,120.564,24.15295,120.572117,845.3904166777596,0.8453904166777596
C2E540,龍溪,,,24.608056,120.775556,24.606489,120.783933,864.6249010637816,0.8646249010637816
C2F930,大甲,,,24.349917,120.632361,24.347667,120.640403,852.2407639249994,0.8522407639249995
C2G870,芳苑,,,23.924,120.311861,23.922303,120.320025,850.9913311606272,0.8509913311606272
C2G640,鹿港,,,24.076944,120.422222,24.0753,120.430481,858.1620043110757,0.8581620043110757
C2M910,嘉義大學,,,23.473087,120.477795,23.471325,120.485903,849.8592663884529,0.8498592663884529
C2O950,安南,,,23.078333,120.136667,23.076694,120.144861,857.802111999648,0.857802111999648
C2M410,馬頭山,,,23.326389,120.573611,23.324361,120.582017,887.4410176150895,0.8874410176150895
C2O810,曾文,,,23.221472,120.489222,23.219681,120.497328,851.9353106341266,0.8519353106341266
C2O930,玉井,,,23.127833,120.452472,23.126042,120.46055,849.7151829933978,0.8497151829933978
C2V260,月眉,,,22.972778,120.531778,22.971003,120.539853,849.9268788657358,0.8499268788657358
C2V250,甲仙,,,23.081667,120.5825,23.080106,120.591758,962.8133899648346,0.9628133899648347
C2N160,西拉雅風管處,,,23.191241,120.327209,23.189481,120.335297,849.5279879489751,0.8495279879489751
C2A920,富貴角,,,25.265556,121.557278,25.263783,121.565258,826.3212400488002,0.8263212400488001
C2A880,福隆,,,25.019167,121.934167,25.017842,121.942083,811.1223171727065,0.8111223171727066
C2A540,四堵,,,24.894394,121.737519,24.8926,121.745736,852.4684240617469,0.8524684240617468
C2A560,福山,,,24.778333,121.494583,24.776203,121.502811,863.7934619954948,0.8637934619954948
C2D720,關西工作站,,,24.759045,121.176589,24.757275,121.184792,851.3541303459543,0.8513541303459543
C2D730,寶山農場,,,24.734205,120.967953,24.732444,120.976153,850.989539684319,0.850989539684319
C2H9K0,屯原,,,24.069754,121.201235,24.067969,121.209389,851.3140352721944,0.8513140352721944
C2G980,田頭村,,,23.828053,120.436042,23.8263,120.444175,849.9233736212536,0.8499233736212536
C2K610,草嶺石壁,,,23.604239,120.699612,23.602469,120.707731,850.3534119722228,0.8503534119722228
C2F990,摩天嶺,,,24.324225,120.928649,24.322458,120.936819,850.82107295483,0.85082107295483
C2M920,朴子農改,,,23.47164,120.251277,23.469889,120.259383,849.3883520734067,0.8493883520734067
C2M620,瑞里,,,23.546903,120.667039,23.545133,120.675197,854.5730953373202,0.8545730953373202
C2A660,瑞芳,,,25.114861,121.792639,25.113169,121.801147,877.0298551401957,0.8770298551401956
C2A650,火燒寮,,,25.004411,121.734572,25.002719,121.742892,859.288715589932,0.859288715589932
C2H9W0,大坪頂農水,,,24.044894,120.92463,24.043122,120.932781,850.8377756704406,0.8508377756704406
C2K620,馬光農場,,,23.723205,120.370739,23.721453,120.378864,849.7545615718393,0.8497545615718393
C2FB50,出雲,,,24.208236,120.894632,24.206469,120.902794,850.7670309749668,0.8507670309749669
C2FB60,頭櫃山,,,24.131608,120.850769,24.129842,120.858925,850.6324732926693,0.8506324732926692
